OldGRE,NewV,NewQ
800,170,166
790,170,164
780,170,163
770,170,161
760,170,160
750,169,159
740,169,158
730,168,157
720,168,156
710,167,155
700,166,155
690,165,154
680,165,153
670,164,152
660,164,152
650,163,151
640,162,151
630,162,150
620,161,149
610,160,149
600,160,148
590,159,148
580,158,147
570,158,147
560,157,146
550,156,146
540,156,145
530,155,145
520,154,144
510,154,144
500,153,144
490,152,143
480,152,143
470,151,142
460,151,142
450,150,141
440,149,141
430,149,141
420,148,140
410,147,140
400,146,140
390,146,139
380,145,139
370,144,138
360,143,138
350,143,138
340,142,137
330,141,137
320,140,136
310,139,136
300,138,136
290,137,135
280,135,135
270,134,134
260,133,134
250,132,133
240,131,133
230,130,132
220,130,132
210,130,131
200,130,131
